File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\css\style.css,32,20,13,0,3,0,9,41,9,41
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlAboutView.fxml,61,58,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlCheckSumView.fxml,104,101,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlCloudView.fxml,172,169,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlDatabaseView.fxml,146,143,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlDownloadsView.fxml,79,76,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlLoginView.fxml,73,70,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlMainView.fxml,894,891,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlPreferencesView.fxml,209,206,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlPremiumView.fxml,49,46,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlSchedulerView.fxml,208,205,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlTutorialPremium.fxml,49,46,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlTutorialView.fxml,177,174,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\OCMediaPlayer.fxml,50,47,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\application\OpenChannel_Dynamic_Downloader.java,387,247,198,24,59,2,81,439,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\application\ShutDownHook.java,34,16,11,1,7,0,11,55,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlChecksumViewController.java,318,256,185,18,50,0,12,50,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlCloudViewController.java,57,39,30,0,9,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlDatabaseViewController.java,387,281,204,13,77,2,29,121,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlDownloadsViewController.java,550,430,309,92,65,4,55,241,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlLoginViewController.java,197,118,90,7,23,3,56,194,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlMainViewController.java,1024,786,613,41,171,18,67,374,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlPreferencesViewController.java,134,95,73,6,25,1,14,115,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlPremiumViewController.java,39,18,13,0,12,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlSchedulerViewController.java,292,215,158,24,39,1,38,186,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlTutorialViewController.java,28,11,7,0,8,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\CustomAutoCompleteSearchDownloadsTextField.java,120,84,65,7,14,0,22,63,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\CustomAutoCompleteSearchTableTextField.java,40,21,14,3,9,0,10,38,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\CustomAutoCompleteTextField.java,101,47,37,3,34,0,20,77,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\CustomNotificationPane.java,125,90,76,9,20,0,15,72,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\EulaPane.java,38,22,20,0,7,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\Notifier.java,141,99,57,16,11,0,31,123,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\OCMusicPlayer.java,18,3,2,0,6,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\OCTableView.java,823,584,449,31,108,17,131,794,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\css\style.css,32,20,13,0,3,0,9,41,9,41
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\downloader\Downloader.java,484,275,218,32,75,21,134,792,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\downloader\DownloaderDaemonThread.java,184,127,96,24,31,12,26,221,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\downloader\DownloaderSaveThread.java,15,3,2,0,3,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\downloader\DownloadTask.java,683,405,324,51,94,22,184,1222,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\downloader\DownloadThread.java,229,135,109,15,38,9,56,260,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\downloader\DownloadUnit.java,591,339,261,43,101,14,151,967,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\downloader\DownloadValidator.java,37,12,10,1,10,0,15,56,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\h2\H2DatabaseConnector.java,166,120,84,10,28,1,18,104,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\model\MainDataModel.java,60,32,25,3,14,2,14,64,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\ockeyHook\OCKeyHook.java,100,68,46,6,18,2,14,97,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\preferences\ConfigPref.java,46,21,16,3,14,0,11,41,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\preferences\UserPropertyWrapper.java,17,3,2,0,5,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\resources\sounds\Playable.java,18,4,3,0,5,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\resources\sounds\PlaySound.java,31,14,12,0,7,0,10,39,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\resources\sounds\SystemSound.java,54,32,18,0,12,0,10,40,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\scheduler\Scheduler.java,66,42,32,6,14,0,10,39,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\security\UserProfile.java,279,183,140,21,55,7,41,230,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\statistics\DailyStat.java,84,55,42,8,19,0,10,44,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\statistics\DailyStatTable.java,123,85,62,4,26,2,12,72,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\statistics\StatUtil.java,15,3,2,0,3,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\tray\Tray.java,149,110,95,3,25,3,14,80,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\utils\DbUtil.java,523,338,251,20,80,12,105,495,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\utils\Email.java,22,6,4,1,7,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\utils\FileUtils.java,127,93,69,15,22,0,12,52,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\utils\Info.java,71,43,35,0,19,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\utils\MiscUtils.java,23,11,8,3,3,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\utils\PlaySound.java,46,26,21,0,11,1,9,43,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlAboutView.fxml,61,58,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlCheckSumView.fxml,104,101,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlCloudView.fxml,172,169,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlDatabaseView.fxml,146,143,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlDownloadsView.fxml,79,76,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlLoginView.fxml,73,70,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlMainView.fxml,894,891,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlPreferencesView.fxml,209,206,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlPremiumView.fxml,49,46,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlSchedulerView.fxml,208,205,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlTutorialPremium.fxml,49,46,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\FxmlTutorialView.fxml,177,174,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\view\fxml\OCMediaPlayer.fxml,50,47,0,0,3,0,0,0,0,0
